scheme	subset	query	target	pident	bits	query_labels	target_labels
default	all_test	YP_009252229.1	YP_010794887.1	57.8	250.0	[]	[]
default	all_test	YP_009252230.1	YP_010794886.1	72.5	293.0	[]	[]
default	all_test	YP_009252231.1	YP_010794885.1	73.5	614.0	[]	[]
default	all_test	YP_009252232.1	YP_010794884.1	81.2	555.0	"[""envelope_glycoprotein""]"	"[""envelope_glycoprotein""]"
default	all_test	YP_009252233.1	YP_010794883.1	71.7	1527.0	"[""helicase""]"	"[""helicase""]"
default	all_test	YP_009252234.1	YP_010794882.1	83.8	277.0	[]	[]
default	all_test	YP_009252235.1	YP_010794881.1	60.9	407.0	[]	[]
default	all_test	YP_009252236.1	YP_010794880.1	72.4	129.0	"[""envelope_glycoprotein""]"	"[""envelope_glycoprotein""]"
default	all_test	YP_009252237.1	YP_010794879.1	70.4	347.0	[]	[]
default	all_test	YP_009252238.1	YP_010794878.1	81.4	709.0	[]	[]
default	all_test	YP_009252239.1	YP_010794877.1	71.1	1170.0	[]	[]
default	all_test	YP_009252240.1	YP_010794876.1	71.1	876.0	[]	[]
default	all_test	YP_009252241.1	YP_010794875.1	62.3	225.0	"[""membrane_matrix""]"	"[""membrane_matrix""]"
default	all_test	YP_009252242.1	YP_010794874.1	56.2	507.0	"[""envelope_glycoprotein""]"	"[""envelope_glycoprotein""]"
default	all_test	YP_009252243.1	YP_010794873.1	60.0	438.0	"[""envelope_glycoprotein""]"	"[""envelope_glycoprotein""]"
default	all_test	YP_009252244.1	YP_010794872.1	63.5	420.0	"[""polymerase""]"	"[""polymerase""]"
default	all_test	YP_009252245.1	YP_010794871.1	84.1	833.0	[]	[]
default	all_test	YP_009252246.1	YP_010794870.1	79.6	765.0	"[""capsid_head""]"	"[""capsid_head""]"
default	all_test	YP_009252247.1	YP_010794869.1	71.9	1461.0	[]	[]
default	all_test	YP_009252248.1	YP_010794868.1	61.9	3674.0	[]	[]
default	all_test	YP_009252249.1	YP_010794867.1	83.9	184.0	"[""capsid_head""]"	"[""capsid_head""]"
default	all_test	YP_009252250.1	YP_010794866.1	73.4	379.0	"[""membrane_matrix""]"	"[""membrane_matrix""]"
default	all_test	YP_009252251.1	YP_010794865.1	79.3	198.0	"[""portal_terminase_packaging""]"	"[""portal_terminase_packaging""]"
default	all_test	YP_009252252.1	YP_010794864.1	69.7	809.0	"[""portal_terminase_packaging""]"	"[""portal_terminase_packaging""]"
default	all_test	YP_009252253.1	YP_010794863.1	84.7	568.0	[]	[]
default	all_test	YP_009252254.1	YP_010794862.1	78.7	1922.0	"[""polymerase""]"	"[""polymerase""]"
default	all_test	YP_009252255.1	YP_010794861.1	87.1	2154.0	[]	[]
default	all_test	YP_009252256.1	YP_010794860.1	78.7	1212.0	"[""portal_terminase_packaging""]"	"[""portal_terminase_packaging""]"
default	all_test	YP_009252257.1	YP_010794859.1	85.5	1513.0	"[""envelope_glycoprotein""]"	"[""envelope_glycoprotein""]"
default	all_test	YP_009252258.1	YP_010794858.1	52.3	162.0	[]	[]
default	all_test	YP_009252259.1	YP_010794856.1	67.5	717.0	"[""protease"", ""capsid_head""]"	"[""protease"", ""capsid_head""]"
default	all_test	YP_009252260.1	YP_010794857.1	62.5	314.0	"[""capsid_head""]"	"[""capsid_head""]"
default	all_test	YP_009252261.1	YP_010794855.1	82.6	981.0	"[""portal_terminase_packaging""]"	"[""portal_terminase_packaging""]"
default	all_test	YP_009252262.1	YP_010794854.1	73.8	381.0	[]	[]
default	all_test	YP_009252263.1	YP_010794853.1	64.7	416.0	[]	[]
default	all_test	YP_009252264.1	YP_010794852.1	64.8	1017.0	"[""envelope_glycoprotein""]"	"[""envelope_glycoprotein""]"
default	all_test	YP_009252265.1	YP_010794851.1	77.4	833.0	[]	[]
default	all_test	YP_009252266.1	YP_010794850.1	78.3	365.0	"[""envelope_glycoprotein""]"	"[""envelope_glycoprotein""]"
default	all_test	YP_009252267.1	YP_010794849.1	89.4	2614.0	"[""capsid_head""]"	"[""capsid_head""]"
default	all_test	YP_009252268.1	YP_010794848.1	90.7	587.0	"[""capsid_head""]"	"[""capsid_head""]"
default	all_test	YP_009252269.1	YP_010794845.1	84.5	1266.0	"[""portal_terminase_packaging""]"	"[""portal_terminase_packaging""]"
default	all_test	YP_009252270.1	YP_010794847.1	70.1	981.0	"[""portal_terminase_packaging""]"	"[""portal_terminase_packaging""]"
default	all_test	YP_009252271.1	YP_010794846.1	84.2	651.0	[]	[]
default	all_test	YP_009252272.1	YP_010794844.1	63.0	344.0	[]	[]
default	all_test	YP_009252273.1	YP_010794843.1	73.9	850.0	[]	[]
default	all_test	YP_009252274.1	YP_010794842.1	73.7	823.0	[]	[]
default	all_test	YP_009252275.1	YP_010794841.1	80.0	121.0	[]	[]
default	all_test	YP_009252276.1	YP_010794840.1	76.5	613.0	"[""envelope_glycoprotein""]"	"[""envelope_glycoprotein""]"
default	all_test	YP_009252277.1	YP_010794839.1	77.7	1340.0	"[""helicase""]"	"[""helicase""]"
default	all_test	YP_009252278.1	YP_010794838.1	72.7	1195.0	"[""helicase""]"	"[""helicase""]"
default	all_test	YP_009252279.1	YP_010794837.1	72.0	447.0	[]	[]
default	all_test	YP_009252280.1	YP_010794836.1	82.3	1123.0	"[""capsid_head"", ""portal_terminase_packaging""]"	"[""capsid_head"", ""portal_terminase_packaging""]"
default	all_test	YP_009252281.1	YP_010794835.1	86.1	1521.0	"[""helicase""]"	"[""helicase""]"
default	all_test	YP_009252282.1	YP_010794834.1	77.6	365.0	[]	[]
default	all_test	YP_009252283.1	YP_010794833.1	68.0	60.0	[]	[]
default	all_test	YP_009252284.1	YP_010794832.1	82.0	300.0	[]	[]
default	all_test	YP_009252285.1	YP_010794831.1	73.6	434.0	[]	[]
default	all_test	YP_009252286.1	YP_010794830.1	61.7	195.0	"[""envelope_glycoprotein""]"	"[""envelope_glycoprotein""]"
default	all_test	YP_009252287.1	YP_003331582.1	36.3	134.0	"[""ligase""]"	"[""ligase""]"
default	all_test	YP_009252288.1	YP_010794888.1	65.0	1433.0	"[""transcription_regulator""]"	"[""transcription_regulator""]"
default	all_test	YP_009252289.1	YP_010794889.1	66.3	376.0	[]	[]
default	all_test	YP_009252290.1	YP_010794890.1	73.0	296.0	[]	[]
default	all_test	YP_009252291.1	YP_002333548.1	41.0	137.0	[]	[]
default	all_test	YP_009252292.1	YP_009666012.1	54.9	331.0	[]	[]
default	all_test	YP_009252293.1	YP_010794893.1	73.1	503.0	[]	[]
default	all_test	YP_009252294.1	YP_010794894.1	58.4	476.0	"[""envelope_glycoprotein""]"	"[""envelope_glycoprotein""]"
default	all_test	YP_009252295.1	YP_010794895.1	64.4	462.0	"[""envelope_glycoprotein""]"	"[""envelope_glycoprotein""]"
default	all_test	YP_009252296.1	YP_010794896.1	58.7	367.0	"[""envelope_glycoprotein""]"	"[""envelope_glycoprotein""]"
default	all_test	YP_009252297.1	YP_010794897.1	62.0	681.0	"[""envelope_glycoprotein""]"	"[""envelope_glycoprotein""]"
default	all_test	YP_009252298.1	YP_010794898.1	42.2	65.0	"[""membrane_matrix""]"	[]
default	all_test	YP_009252299.1	YP_009666019.1	44.6	103.0	"[""membrane_matrix""]"	"[""membrane_matrix""]"
default	all_test	YP_009252300.1	YP_002333548.1	41.0	137.0	[]	[]
default	all_test	YP_009252301.1	YP_010794890.1	73.0	296.0	[]	[]
default	all_test	YP_009252302.1	YP_010794889.1	66.3	376.0	[]	[]
default	all_test	YP_009252303.1	YP_010794888.1	65.0	1433.0	"[""transcription_regulator""]"	"[""transcription_regulator""]"
default	all_test	YP_009254745.1	YP_009179222.1	29.8	342.0	"[""polyprotein""]"	"[""polyprotein""]"
default	all_test	YP_009134743.1	YP_004169284.1	50.0	165.0	[]	[]
default	all_test	YP_009134744.1	YP_006393303.1	52.0	101.0	[]	[]
default	all_test	YP_009134746.1	YP_004169287.1	55.3	433.0	[]	[]
default	all_test	YP_009134747.1	YP_004169288.1	49.5	107.0	[]	[]
default	all_test	YP_009134748.1	YP_004169289.1	55.4	539.0	[]	[]
default	all_test	YP_009134749.1	YP_004169290.1	71.0	760.0	[]	[]
default	all_test	YP_009134745.1	YP_004169286.1	66.8	842.0	[]	[]
default	all_test	YP_009142784.1	YP_007438853.1	58.2	1018.0	"[""polyprotein""]"	"[""polyprotein""]"
default	all_test	YP_009142782.1	YP_002308434.1	35.1	49.0	[]	[]
default	all_test	YP_009142785.1	YP_007438854.1	46.5	425.0	"[""polyprotein""]"	"[""polyprotein""]"
default	all_test	YP_009142786.1	YP_007438855.1	57.7	222.0	"[""capsid_head""]"	"[""capsid_head""]"
default	all_test	YP_009140128.1	NP_041259.1	57.2	764.0	[]	[]
default	all_test	YP_009140129.1	NP_041260.2	73.0	447.0	"[""protease""]"	"[""protease""]"
default	all_test	YP_009140472.1	YP_006589925.2	53.5	920.0	"[""polyprotein""]"	"[""polyprotein""]"
default	all_test	YP_009140473.1	YP_006589926.1	40.3	331.0	"[""polyprotein""]"	"[""polyprotein""]"
default	all_test	YP_009140474.1	YP_006589927.1	42.8	213.0	[]	"[""capsid_head""]"
default	all_test	YP_009140560.1	YP_009140561.1	55.8	3056.0	"[""polyprotein""]"	"[""polyprotein""]"
default	all_test	YP_009140563.1	YP_009337834.1	89.2	241.0	[]	"[""capsid_head""]"
default	all_test	YP_009140564.1	YP_717915.1	98.0	522.0	"[""capsid_head""]"	[]
default	all_test	YP_009140565.1	YP_010084354.1	88.8	259.0	[]	[]
default	all_test	YP_009140566.1	YP_008901145.1	91.6	262.0	"[""transcription_regulator""]"	[]
default	all_test	YP_009140567.1	NP_955735.1	94.1	722.0	[]	[]
default	all_test	YP_009140568.1	YP_008901147.1	86.0	165.0	[]	[]
default	all_test	YP_009158863.1	YP_010087523.1	88.7	617.0	[]	[]
default	all_test	YP_009158864.1	YP_010087524.1	92.9	450.0	[]	[]
default	all_test	YP_009158865.1	YP_010087525.1	95.8	775.0	[]	[]
default	all_test	YP_009158866.1	YP_010087526.1	81.6	1315.0	[]	[]
default	all_test	YP_009158867.1	YP_010087528.1	67.5	546.0	[]	[]
default	all_test	YP_009158868.1	YP_010087530.1	86.0	390.0	[]	[]
default	all_test	YP_009158870.1	YP_010087530.1	88.3	155.0	[]	[]
default	all_test	YP_009158869.1	YP_010087531.1	86.1	392.0	[]	[]
default	all_test	YP_009160359.1	YP_009160402.1	45.3	439.0	"[""capsid_head""]"	"[""capsid_head""]"
default	all_test	YP_009160360.1	YP_009160369.1	37.2	188.0	[]	[]
default	all_test	YP_009160362.1	YP_009160395.1	39.7	171.0	[]	[]
default	all_test	YP_009163904.1	YP_009001756.1	54.4	361.0	[]	[]
default	all_test	YP_009163903.1	YP_009001755.1	30.6	59.0	"[""capsid_head""]"	"[""capsid_head""]"
default	all_test	YP_009163899.1	YP_009163915.1	45.9	235.0	[]	[]
default	all_test	YP_009163900.1	YP_009226564.1	33.7	132.0	"[""capsid_head""]"	[]
default	all_test	YP_009163941.1	YP_003240112.1	41.1	476.0	[]	[]
default	all_test	YP_009163942.1	YP_003240114.1	60.0	454.0	[]	[]
default	all_test	YP_009163943.1	YP_003240115.1	41.6	286.0	"[""membrane_matrix""]"	[]
default	all_test	YP_009163948.2	YP_052958.1	23.1	202.0	"[""capsid_head""]"	[]
default	all_test	YP_009163949.1	YP_003240110.1	75.8	1468.0	[]	[]
default	all_test	YP_009163950.1	YP_003240111.1	64.4	880.0	[]	[]
default	all_test	YP_009163940.1	YP_003240108.1	70.6	1907.0	"[""polymerase""]"	[]
default	all_test	YP_009163944.1	YP_052960.1	54.2	233.0	[]	[]
default	all_test	YP_009163951.1	YP_052955.1	61.5	621.0	"[""helicase""]"	"[""capsid_head""]"
default	all_test	YP_009163952.1	YP_052953.2	41.2	191.0	[]	[]
default	all_test	YP_009163934.1	YP_009226562.1	32.2	85.0	"[""capsid_head""]"	[]
default	all_test	YP_009163924.1	YP_013607439.1	50.8	313.0	[]	[]
default	all_test	YP_009163925.1	YP_009163912.1	31.5	101.0	"[""capsid_head""]"	"[""capsid_head""]"
default	all_test	YP_009227295.1	YP_009506367.1	95.6	6089.0	"[""polyprotein""]"	"[""polyprotein""]"
default	all_test	YP_009227296.1	YP_009506367.1	95.7	1111.0	[]	"[""polyprotein""]"
default	all_test	YP_009227297.1	YP_009506367.1	92.1	904.0	[]	"[""polyprotein""]"
default	all_test	YP_009227298.1	YP_009506367.1	96.1	499.0	[]	"[""polyprotein""]"
default	all_test	YP_009227299.1	YP_009506367.1	90.2	68.0	[]	"[""polyprotein""]"
default	all_test	YP_009227300.1	YP_009506367.1	96.3	1253.0	[]	"[""polyprotein""]"
default	all_test	YP_009227301.1	YP_009506367.1	96.2	498.0	[]	"[""polyprotein""]"
default	all_test	YP_009227302.1	YP_009506367.1	94.9	465.0	[]	"[""polyprotein""]"
default	all_test	YP_009227303.1	YP_009506367.1	96.8	755.0	[]	"[""polyprotein""]"
default	all_test	YP_009227304.1	YP_009506367.1	98.4	410.0	[]	"[""polyprotein""]"
default	all_test	YP_009227305.1	YP_009506367.1	98.7	162.0	[]	"[""polyprotein""]"
default	all_test	YP_009174979.1	YP_009174985.1	89.9	546.0	[]	[]
default	all_test	YP_009174980.1	YP_009174986.1	89.2	366.0	[]	[]
default	all_test	YP_009174981.1	YP_009174987.1	90.3	671.0	[]	[]
default	all_test	YP_009174982.1	YP_009174988.1	93.0	1253.0	[]	[]
default	all_test	YP_009174983.1	YP_009174989.1	93.5	402.0	[]	[]
default	all_test	YP_009174978.1	YP_009174977.1	95.5	644.0	[]	[]
default	all_test	YP_009175033.1	YP_001672007.1	100.0	237.0	[]	[]
default	all_test	YP_009179218.1	YP_009179224.1	20.7	301.0	"[""polyprotein""]"	"[""polyprotein""]"
default	all_test	YP_009179213.1	YP_009164030.1	59.0	2681.0	"[""polyprotein""]"	"[""polyprotein""]"
default	all_test	YP_009179223.1	YP_009179225.1	23.0	1047.0	"[""polyprotein""]"	"[""polyprotein""]"
default	all_test	YP_009179380.1	YP_009179392.1	42.3	99.0	[]	[]
default	all_test	YP_009179381.1	YP_009179385.1	29.0	140.0	"[""envelope_glycoprotein""]"	"[""envelope_glycoprotein""]"
default	all_test	YP_009179382.1	YP_009179386.1	33.7	161.0	"[""capsid_head""]"	"[""capsid_head""]"
default	all_test	YP_009179383.1	YP_009179387.1	31.2	214.0	[]	[]
default	all_test	YP_009179389.1	YP_009179379.1	44.7	660.0	[]	[]
default	all_test	YP_009179388.1	YP_009179378.1	60.8	1127.0	[]	[]
default	all_test	YP_009175091.1	YP_010840338.1	52.3	993.0	"[""polyprotein""]"	"[""polyprotein""]"
default	all_test	YP_009175074.1	NP_612349.1	52.2	1962.0	"[""polyprotein""]"	"[""polyprotein""]"
default	all_test	YP_009177717.1	YP_009177707.1	79.1	3726.0	"[""polymerase""]"	"[""polymerase""]"
default	all_test	YP_009177718.1	YP_009177708.1	66.3	593.0	[]	[]
default	all_test	YP_009182199.1	NP_148785.1	93.1	501.0	[]	[]
default	all_test	YP_009182200.1	NP_663167.1	41.6	61.0	[]	[]
default	all_test	YP_009182201.1	YP_010800721.1	64.9	383.0	[]	[]
default	all_test	YP_009182203.1	YP_003429328.1	56.1	229.0	[]	[]
default	all_test	YP_009182204.1	YP_009091847.1	43.8	352.0	[]	[]
default	all_test	YP_009182205.1	YP_003429331.1	55.3	225.0	[]	[]
default	all_test	YP_009182206.1	YP_003429332.1	65.3	153.0	[]	[]
default	all_test	YP_009182207.1	YP_009330145.1	84.2	128.0	[]	[]
default	all_test	YP_009182208.1	YP_003429339.1	63.9	614.0	[]	[]
default	all_test	YP_009182209.1	YP_010800733.1	56.6	231.0	[]	[]
default	all_test	YP_009182210.1	YP_654435.1	71.9	524.0	[]	[]
default	all_test	YP_009182212.1	YP_009091859.1	72.8	261.0	"[""envelope_glycoprotein""]"	"[""envelope_glycoprotein""]"
default	all_test	YP_009182213.1	YP_004376249.1	33.1	59.0	[]	[]
default	all_test	YP_009182214.1	NP_891870.1	64.4	391.0	[]	[]
default	all_test	YP_009182215.1	NP_148807.1	70.7	194.0	"[""envelope_glycoprotein""]"	[]
default	all_test	YP_009182216.1	YP_010800743.1	26.8	96.0	[]	[]
default	all_test	YP_009182219.1	YP_003429412.1	70.8	412.0	[]	[]
default	all_test	YP_009182220.1	YP_654503.1	70.0	289.0	[]	[]
default	all_test	YP_009182221.1	YP_010800810.1	45.3	87.0	[]	[]
default	all_test	YP_009182222.1	YP_009091932.1	50.3	610.0	[]	[]
default	all_test	YP_009182223.1	YP_003429350.1	39.8	422.0	[]	[]
default	all_test	YP_009182227.1	NP_891879.1	41.1	178.0	[]	[]
default	all_test	YP_009182228.1	YP_003429354.1	51.5	213.0	[]	[]
default	all_test	YP_009182229.1	NP_891882.1	66.0	884.0	[]	[]
default	all_test	YP_009182230.1	NP_891883.1	67.6	156.0	[]	[]
default	all_test	YP_009182232.1	YP_009165873.1	21.5	56.0	[]	[]
default	all_test	YP_009182234.1	YP_003429357.1	54.4	188.0	[]	[]
default	all_test	YP_009182235.1	YP_003429358.1	47.5	79.0	[]	[]
default	all_test	YP_009182236.1	YP_008003559.1	38.0	205.0	[]	[]
default	all_test	YP_009182237.1	YP_004732905.1	51.8	128.0	[]	[]
default	all_test	YP_009182238.1	NP_891890.1	40.3	294.0	[]	[]
default	all_test	YP_009182239.1	YP_009330171.1	60.6	361.0	[]	[]
default	all_test	YP_009182240.1	NP_891892.1	71.5	590.0	[]	[]
default	all_test	YP_009182241.1	YP_007003822.1	35.9	46.0	[]	[]
default	all_test	YP_009182242.1	YP_003429365.1	42.8	56.0	[]	[]
default	all_test	YP_009182243.1	YP_003429366.1	31.5	224.0	[]	[]
default	all_test	YP_009182244.1	YP_003429367.1	72.3	308.0	[]	[]
default	all_test	YP_009182245.1	YP_010800763.1	77.7	64.0	[]	[]
default	all_test	YP_009182246.1	YP_009091886.1	86.3	166.0	[]	[]
default	all_test	YP_009182247.1	YP_003429370.1	68.9	495.0	[]	[]
default	all_test	YP_009182248.1	NP_148840.1	48.3	62.0	[]	[]
default	all_test	YP_009182249.1	YP_010800768.1	54.1	242.0	[]	[]
default	all_test	YP_009182250.1	NP_148842.1	65.5	127.0	[]	[]
default	all_test	YP_009182251.1	YP_003429375.1	60.2	835.0	[]	[]
default	all_test	YP_009182252.1	YP_010800775.1	27.4	50.0	[]	[]
default	all_test	YP_009182253.1	YP_003429378.1	65.4	277.0	[]	[]
default	all_test	YP_009182254.1	YP_654470.1	76.5	97.0	[]	[]
default	all_test	YP_009182255.1	NP_148852.1	65.1	524.0	[]	[]
default	all_test	YP_009182256.1	NP_148853.1	75.9	342.0	[]	[]
default	all_test	YP_009182258.1	YP_003429382.1	57.4	183.0	[]	"[""capsid_head""]"
default	all_test	YP_009182259.1	YP_010800781.1	47.7	131.0	[]	[]
default	all_test	YP_009182260.1	YP_008720010.1	64.2	336.0	[]	[]
default	all_test	YP_009182261.1	YP_654477.1	59.2	685.0	[]	[]
default	all_test	YP_009182262.1	NP_148854.1	34.7	64.0	[]	[]
default	all_test	YP_009182263.1	NP_148801.1	56.3	341.0	[]	[]
default	all_test	YP_009182265.1	YP_654480.1	48.6	46.0	[]	[]
default	all_test	YP_009182266.1	NP_148864.1	47.2	98.0	[]	[]
default	all_test	YP_009182267.1	YP_003429390.1	50.0	286.0	[]	[]
default	all_test	YP_009182268.1	YP_010800790.1	58.4	82.0	[]	[]
default	all_test	YP_009182269.1	YP_003429391.1	41.3	142.0	[]	[]
default	all_test	YP_009182270.1	YP_003429392.1	73.5	589.0	[]	[]
default	all_test	YP_009182271.1	NP_148868.1	50.4	103.0	[]	[]
default	all_test	YP_009182273.1	NP_148869.1	58.9	418.0	[]	[]
default	all_test	YP_009182275.1	YP_003429396.1	71.4	343.0	[]	[]
default	all_test	YP_009182276.1	YP_003429397.1	72.7	453.0	[]	[]
default	all_test	YP_009182277.1	YP_010800091.1	62.7	188.0	[]	[]
default	all_test	YP_009182279.1	YP_003429398.1	61.4	212.0	[]	[]
default	all_test	YP_009182280.1	YP_010800799.1	57.6	1392.0	"[""helicase""]"	"[""helicase""]"
default	all_test	YP_009182281.1	NP_891929.1	69.3	299.0	[]	[]
default	all_test	YP_009182282.1	YP_003429401.1	49.3	155.0	[]	[]
default	all_test	YP_009182283.1	YP_003429402.1	66.8	372.0	[]	[]
default	all_test	YP_009182284.1	YP_003429404.1	57.1	498.0	[]	[]
default	all_test	YP_009182285.1	YP_003429405.1	63.0	396.0	[]	"[""capsid_head""]"
default	all_test	YP_009182286.1	YP_010800806.1	60.7	339.0	[]	[]
default	all_test	YP_009182288.1	YP_003429407.1	37.2	275.0	[]	[]
default	all_test	YP_009182289.1	YP_009506026.1	60.4	59.0	[]	[]
default	all_test	YP_009182290.1	YP_009091937.1	45.8	72.0	[]	[]
default	all_test	YP_009182291.1	YP_003429414.1	76.7	580.0	[]	[]
default	all_test	YP_009182292.1	YP_010800815.1	73.1	124.0	[]	[]
default	all_test	YP_009182293.1	YP_654510.1	63.3	206.0	[]	[]
default	all_test	YP_009182294.1	NP_663267.1	38.5	68.0	[]	[]
default	all_test	YP_009182295.1	YP_010800817.1	68.9	1446.0	"[""polymerase""]"	[]
default	all_test	YP_009182296.1	YP_003429418.1	32.8	224.0	[]	[]
default	all_test	YP_009182297.1	YP_010800820.1	51.1	327.0	[]	[]
default	all_test	YP_009182298.1	YP_003429420.1	65.0	183.0	[]	[]
default	all_test	YP_009182300.1	YP_003429421.1	40.1	113.0	[]	[]
default	all_test	YP_009182301.1	YP_010800823.1	62.1	350.0	[]	[]
default	all_test	YP_009182302.1	YP_003429423.1	74.7	786.0	[]	[]
default	all_test	YP_009182303.1	YP_003429424.1	71.2	227.0	[]	[]
default	all_test	YP_009182304.1	YP_009118594.1	22.8	49.0	[]	[]
default	all_test	YP_009182307.1	YP_003429426.1	59.0	677.0	"[""ligase""]"	"[""ligase""]"
default	all_test	YP_009182309.1	NP_891961.1	56.3	103.0	[]	[]
default	all_test	YP_009182311.1	YP_003429431.1	64.4	522.0	"[""nuclease""]"	[]
default	all_test	YP_009182312.1	YP_003429432.1	59.4	527.0	"[""helicase""]"	"[""helicase""]"
default	all_test	YP_009182313.1	YP_010799522.1	61.1	782.0	[]	[]
default	all_test	YP_009182314.1	YP_010799521.1	61.1	452.0	[]	[]
default	all_test	YP_009182316.1	YP_007250533.1	74.1	786.0	[]	[]
default	all_test	YP_009182317.1	YP_003429434.1	69.9	1260.0	[]	[]
default	all_test	YP_009182318.1	YP_003429437.1	68.1	201.0	[]	[]
default	all_test	YP_009182319.1	YP_010800839.1	41.0	152.0	[]	[]
default	all_test	YP_009182320.1	YP_010800840.1	50.8	63.0	[]	[]
default	all_test	YP_009182321.1	NP_891971.1	56.0	72.0	[]	[]
default	all_test	YP_009182322.1	YP_003429440.1	66.0	457.0	[]	[]
default	all_test	YP_009182323.1	YP_003429444.1	52.0	331.0	[]	[]
default	all_test	YP_009182164.1	YP_010799217.1	97.1	1412.0	"[""polymerase""]"	"[""polymerase""]"
default	all_test	YP_009182162.1	YP_010800717.1	38.8	409.0	"[""polymerase""]"	"[""polymerase""]"
default	all_test	YP_009186692.1	YP_001650911.1	95.5	499.0	[]	[]
default	all_test	YP_009186693.1	YP_010805476.1	39.6	336.0	[]	[]
default	all_test	YP_009186694.1	YP_010086270.1	67.4	374.0	[]	[]
default	all_test	YP_009186695.1	YP_874197.1	35.7	177.0	[]	[]
default	all_test	YP_009186696.1	YP_009001782.1	28.3	52.0	[]	[]
default	all_test	YP_009186697.1	YP_010086274.1	73.7	540.0	[]	[]
default	all_test	YP_009186698.1	YP_009701502.1	27.8	63.0	[]	[]
default	all_test	YP_009186699.1	YP_717615.1	33.6	59.0	[]	[]
default	all_test	YP_009186700.1	YP_010805495.1	60.4	100.0	[]	[]
default	all_test	YP_009186701.1	YP_009001785.1	57.5	305.0	[]	[]
default	all_test	YP_009186702.1	YP_009001786.1	72.4	83.0	[]	[]
default	all_test	YP_009186703.1	YP_010086279.1	47.6	125.0	[]	[]
default	all_test	YP_009186704.1	YP_001650927.1	35.5	160.0	[]	[]
default	all_test	YP_009186706.1	YP_010086293.1	66.5	919.0	[]	[]
default	all_test	YP_009186707.1	YP_010086292.1	44.2	300.0	[]	[]
default	all_test	YP_009186708.1	YP_010086290.1	54.4	289.0	[]	[]
default	all_test	YP_009186709.1	YP_010086289.1	80.9	833.0	[]	[]
default	all_test	YP_009186710.1	YP_010086288.1	88.6	138.0	[]	[]
default	all_test	YP_009186711.1	YP_010086287.1	73.1	428.0	[]	[]
